DOCUMENTOASSOCIADO;BI;EXCEL
4-89702375771;2;1
4-89735174949;2;1
4-89735796383;2;1
4-89743802552;2;1
4-89747800103;2;1
4-89763723218;2;1
4-89772590106;2;1
4-89774033404;2;1
4-89780121753;2;1
4-89785401435;2;1
4-89806158728;2;1
4-89840085822;2;1
4-89850828632;2;1
4-89168385953;2;1
4-89174286045;2;1
4-89182586171;2;1
4-89182866696;2;1
4-89184917583;2;1
4-89286203362;2;1
4-89420096540;2;1
4-89708234834;2;1
4-89718739891;2;1
4-89730085779;2;1
4-89730851307;2;1
4-89762478480;2;1
4-89769558483;2;1
4-89774920410;2;1
4-89790707157;2;1
4-89859552571;2;1
4-89884378074;2;1
4-89913237170;2;1
4-89914733719;2;1
4-89922164517;2;1
4-89927582535;2;1
4-89928251156;2;1
4-89928708123;2;1
4-89934355589;2;1
4-89935821144;2;1
4-89939734056;2;1
4-90004347727;2;1
4-90011788920;2;1
4-90029381126;2;1
4-90036854127;2;1
4-90057139254;2;1
4-90061218277;2;1
4-90065337493;2;1
4-90072926149;2;1
4-90075856374;2;1
4-90088208171;2;1
4-90088904818;2;1
4-90089676732;2;1
4-90093569290;2;1
4-90156240392;2;1
4-90165251869;2;1
4-90173590146;2;1
4-90175140092;2;1
4-90188125768;2;1
4-90210228522;2;1
4-90213450284;2;1
4-90213854665;2;1
4-90221251841;2;1
4-90233117015;2;1
4-90235947443;2;1
4-90275128680;2;1
4-90275827000;2;1
4-90286551036;2;1
4-90292235904;2;1
4-90295924164;2;1
4-90296023396;2;1
4-90296411052;2;1
4-90296582654;2;1
4-90301451057;2;1
4-90303482601;2;1
4-90306376931;2;1
4-90312648731;2;1
4-90315937479;2;1
4-90317928307;2;1
4-90320925120;2;1
4-90321140508;2;1
4-90324136100;2;1
4-90325289426;2;1
4-90335449863;2;1
4-90336900124;2;1
4-90337905693;2;1
4-90339762275;2;1
4-90343560655;2;1
4-90347144002;2;1
4-90348314124;2;1
4-90351410790;2;1
4-90387253770;2;1
4-90390487522;2;1
4-90407076160;2;1
4-90408605815;2;1
4-90410072562;2;1
4-90410778803;2;1
4-90411541441;2;1
4-90413278184;2;1
4-90418723176;2;1
4-90419460826;2;1
4-90424713002;2;1
4-90424901299;2;1
4-90432915272;2;1
4-90467367319;2;1
4-90617367750;2;1
4-90632119528;2;1
4-90646381850;2;1
4-90649994604;2;1
4-90654156220;2;1
4-90660766350;2;1
4-90669150506;2;1
4-90670710188;2;1
4-90672948948;2;1
4-90676798038;2;1
4-90682217148;2;1
4-90685206068;2;1
4-90692451954;2;1
4-90692635645;2;1
4-90694633003;2;1
4-90701452076;2;1
4-90703703307;2;1
4-90708340893;2;1
4-90709402148;2;1
4-90710128080;2;1
4-90710906897;2;1
4-90712069038;2;1
4-90712335174;2;1
4-90713776163;2;1
4-90742645159;2;1
4-90799685986;2;1
4-90807663292;2;1
4-90808492356;2;1
4-90808723821;2;1
4-90810703280;2;1
4-90811262688;2;1
4-90812593210;2;1
4-90819725007;2;1
4-90820300126;2;1
4-90822722296;2;1
4-90822886960;2;1
4-90823220157;2;1
4-90828942987;2;1
4-90829898456;2;1
4-90830047065;2;1
4-90832270395;2;1
4-90832558270;2;1
4-90837078738;2;1
4-90838269719;2;1
4-90847640086;2;1
4-90848034053;2;1
4-90848976480;2;1
4-90850732948;2;1
4-90854445735;2;1
4-90867774552;2;1
4-90869892402;2;1
4-90873862835;2;1
4-90874071818;2;1
4-90879555414;2;1
4-90881950850;2;1
4-90884215236;2;1
4-90884450885;2;1
4-90891526876;2;1
4-90891675709;2;1
4-90895060419;2;1
4-90895725181;2;1
4-90899337903;2;1
4-90902391166;2;1
4-90904837912;2;1
4-90914413633;2;1
4-90966575657;2;1
4-90982175788;2;1
4-90993874519;2;1
4-90998929663;2;1
4-90999079491;2;1
4-91005635184;2;1
4-91006619804;2;1
4-91007536391;2;1
